structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 76 Diameter 100 um Coupling Distance 0.09,5039,34,88,1579.95958484,1579.95958484,1579.95958484,7.63439170191e-05,189.746915602,0,0.000152687834038,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,88,36,1579.95958484,1583.86841475,1581.9139998,7.75752089038e-05,189.512488061,3.90882990877,0.000155150417808,6.40204859553,0.000254112757496,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,36,90,1583.86841475,1583.86841475,1583.86841475,7.87872604368e-05,189.278639063,0,0.000157574520874,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,90,38,1583.86841475,1587.80542566,1585.83692021,9.89657288503e-05,189.043686763,3.93701090527,0.000197931457701,6.38778707501,0.000321144120233,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,38,92,1587.80542566,1587.80542566,1587.80542566,0.00011567626622,188.809317033,0,0.00023135253244,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,92,39,1587.80542566,1589.772745,1588.78908533,0.000106178022327,188.69242039,1.96731933725,0.000212356044654,12.8309151944,0.00138499349711,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,39,93,1589.772745,1589.772745,1589.772745,9.5742082095e-05,188.575668405,0,0.00019148416419,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,93,42,1589.772745,1595.70188073,1592.73731286,0.00010724374005,188.224671815,5.92913572992,0.000214487480101,4.27855300221,0.000154778445347,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,42,96,1595.70188073,1595.70188073,1595.70188073,0.000117626073964,187.874979419,0,0.000235252147927,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,96,46,1595.70188073,1603.70676703,1599.70432388,0.000130997759949,187.404918225,8.00488630383,0.000261995519899,3.1968647982,0.000104632934088,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,46,100,1603.70676703,1603.70676703,1603.70676703,0.000143125584531,186.937203336,0,0.000286251169063,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,100,47,1603.70676703,1605.71085932,1604.70881318,0.000123511643656,186.820472062,2.0040922933,0.000247023287313,12.8491606085,0.00158378153473,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,47,101,1605.71085932,1605.71085932,1605.71085932,0.000100126516418,186.703886481,0,0.000200253032836,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,101,48,1605.71085932,1607.73387207,1606.7223657,0.000111669307229,186.58634771,2.02301275039,0.000223338614458,12.7609515063,0.00140879759019,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,48,102,1607.73387207,1607.73387207,1607.73387207,0.000122125955734,186.468956839,0,0.000244251911469,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,102,49,1607.73387207,1609.74512031,1608.73949619,0.000133250949608,186.352394971,2.01124824173,0.000266501899217,12.8678435258,0.00170506422196,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,49,103,1609.74512031,1609.74512031,1609.74512031,0.000143516138741,186.235978738,0,0.000287032277482,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,103,51,1609.74512031,1613.79035046,1611.76773539,0.000154467853482,186.002270314,4.04523014183,0.000308935706965,6.42187253073,0.000490442301014,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,51,105,1613.79035046,1613.79035046,1613.79035046,0.000164692906465,185.769147718,0,0.000329385812929,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,105,52,1613.79035046,1615.82353812,1614.80694429,0.000156184884724,185.652197657,2.03318766672,0.000312369769448,12.8251882992,0.00197040556228,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,52,106,1615.82353812,1615.82353812,1615.82353812,0.000147185879053,185.535394755,0,0.000294371758106,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,106,53,1615.82353812,1617.87195705,1616.84774758,0.000153580953156,185.417865379,2.0484189221,0.000307161906311,12.7620215312,0.00191367594079,9.08623275228,4.02691953895
