structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 76 Diameter 100 um Coupling Distance 0.09,5039,92,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1587.80542566,0.000163590944533,188.809317033,1.94529468227e-05,0.0115451561586,0.000677780759521,137530.00859,8073.96560068,-0.000703728144777,-2.56789654038,0.00168741140321,0.863002910344,0.983659668626,0.000157018377879,85.2010709179,5.00191242414,9.08623275228,4.02691953895,2.4417969096,0.0982189724275
mple 76 Diameter 100 um Coupling Distance 0.09,5039,39,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1589.772745,0.000135399750989,188.575668405,1.60608480835e-05,0.0106194636983,0.00025296748411,149703.675267,3566.10871984,-0.000803719457432,11.765030187,-0.00733141033506,0.892208691623,0.983659668626,0.000142969642614,92.6279986045,2.20654343681,9.08623275228,4.02691953895,2.43356433468,0.103330092865
mple 76 Diameter 100 um Coupling Distance 0.09,5039,93,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1589.772745,0.000135399750989,188.575668405,1.60608480835e-05,0.0106194636983,0.00025296748411,149703.675267,3566.10871984,-0.000803719457432,11.765030187,-0.00733141033506,0.892208691623,2.96456786496,0.000143762881384,279.163614019,6.65000280918,9.08623275228,4.02691953895,2.43356433468,0.103330092865
mple 76 Diameter 100 um Coupling Distance 0.09,5039,42,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1595.70188073,0.000166348389088,187.874979419,1.95855507559e-05,0.0112127808241,0.000659065105065,142310.984737,8364.75853571,-0.000573983914632,-3.5721498442,0.0023042866293,0.831224595176,2.96456786496,0.000159176358345,264.39184993,15.5404370948,9.08623275228,4.02691953895,2.40875288026,0.118734062233
mple 76 Diameter 100 um Coupling Distance 0.09,5039,96,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1595.70188073,0.000166348389088,187.874979419,1.95855507559e-05,0.0112127808241,0.000659065105065,142310.984737,8364.75853571,-0.000573983914632,-3.5721498442,0.0023042866293,0.831224595176,4.00244315191,0.000176057679151,356.953659818,20.9810368078,9.08623275228,4.02691953895,2.40875288026,0.118734062233
mple 76 Diameter 100 um Coupling Distance 0.09,5039,46,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1603.70676703,0.000202410142767,186.937203336,2.35940801608e-05,0.0114911798702,0.000575930209568,139559.800224,6994.64336114,-0.000750729962019,-15.6726590295,0.00983950607418,0.837938899157,4.00244315191,0.000194024086286,348.305674188,17.4568543898,9.08623275228,4.02691953895,2.37525510237,0.139530857758
mple 76 Diameter 100 um Coupling Distance 0.09,5039,100,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1603.70676703,0.000202410142767,186.937203336,2.35940801608e-05,0.0114911798702,0.000575930209568,139559.800224,6994.64336114,-0.000750729962019,-15.6726590295,0.00983950607418,0.837938899157,1.00204614665,0.000189050414086,87.2013281461,4.37050290583,9.08623275228,4.02691953895,2.37525510237,0.139530857758
mple 76 Diameter 100 um Coupling Distance 0.09,5039,47,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1605.71085932,0.000141600277472,186.703886481,1.64645595919e-05,0.0113346327044,0.000599816011231,141664.128093,7496.70628624,-0.000715047906951,12.213634009,-0.00753299760938,0.895498662646,1.00204614665,0.000158998255993,88.405700721,4.67835125598,9.08623275228,4.02691953895,2.36686864491,0.144737514799
mple 76 Diameter 100 um Coupling Distance 0.09,5039,101,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1605.71085932,0.000141600277472,186.703886481,1.64645595919e-05,0.0113346327044,0.000599816011231,141664.128093,7496.70628624,-0.000715047906951,12.213634009,-0.00753299760938,0.895498662646,1.01150637519,0.000149984510757,89.2403310784,4.72251646364,9.08623275228,4.02691953895,2.36686864491,0.144737514799
mple 76 Diameter 100 um Coupling Distance 0.09,5039,48,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1607.73387207,0.000172712182917,186.468956839,2.00315867827e-05,0.0118590871835,0.000736660437798,135569.782665,8421.29701085,-0.000686759049014,-2.98598735374,0.00192549534255,0.85283222328,1.01150637519,0.000165483483288,85.2937801653,5.29828058298,9.08623275228,4.02691953895,2.35840301164,0.149993327426
