StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.542769042968750000e+03 1.543769042968750000e+03 1.543283553627344872e+03 2.168763612762820720e-03 1.813818575237988728e-01 8.119366481760906598e-03 8.508478051201194830e+03 3.808729962129724527e+02 -1.303555225122296100e-03 5.379103701634852365e-05 nan nan nan nan nan nan nan nan -2.103200072104084661e+00 1.434808663756047395e-03 6.858562314973267737e-01
1.543815673828125000e+03 1.544815673828125000e+03 1.544299599416534647e+03 8.771688540288240070e-04 2.078951336027837216e-02 2.281991091776307615e-03 7.428262377546371135e+04 8.153739955045243732e+03 -2.506793253654594181e-04 2.462596145756183573e-05 1.544315591781363310e+03 8.771688540288240070e-04 4.944224642326078278e-03 2.281991091776307615e-03 3.123473756756365183e+05 1.905991136952696252e+04 -3.693290567463566919e-04 2.462596145756183573e-05 -7.941109734875540838e+00 5.216540639331595890e-03 7.739199939641765447e-01
1.545683105468750000e+03 1.546683105468750000e+03 1.546143402118920676e+03 1.557968898141996175e-03 3.535270523552213467e-02 4.860030163185933075e-03 4.373479743115577003e+04 6.012338611314599802e+03 -3.079819911345870321e-04 3.139618768646250434e-05 1.546182417446865657e+03 1.557968898141996175e-03 4.902660459023235745e-03 4.860030163185933075e-03 3.153761983661650447e+05 1.636621446348768950e+04 -4.328409000113213117e-04 3.139618768646250434e-05 -7.587497959169938078e+00 4.976585168918303340e-03 4.975477379169357395e-01
1.547556640625000000e+03 1.548556640625000000e+03 1.548032017986153960e+03 2.429864756553966072e-03 2.344901391961483686e-02 7.040705727067730207e-03 6.601693458381388336e+04 1.982197677938433480e+04 -1.933468353975505085e-04 5.024936943978612890e-05 1.548054645788727157e+03 2.429864756553966072e-03 7.861533396870240206e-03 7.040705727067730207e-03 1.969151013725927914e+05 2.923338187422242845e+04 -5.004356326190636086e-04 5.024936943978612890e-05 6.798977842437857966e+00 -4.322686758539621803e-03 4.711063861191411295e-01
1.547989013671875000e+03 1.548989013671875000e+03 1.548545002355440829e+03 1.036871133893424619e-02 2.048123956877551943e-01 4.077048752931561326e-02 7.560797270865678001e+03 1.505071946367188502e+03 -1.155500490829428810e-03 2.229219025610527807e-04 nan nan nan nan nan nan nan nan 1.037430252553730803e+01 -6.631122686492764255e-03 1.552657112175275245e-01
1.549426147460937500e+03 1.550426147460937500e+03 1.549924093704378947e+03 4.319552313513446914e-04 1.080572310187251014e-02 1.024712954940070917e-03 1.434354812808218703e+05 1.360206942945696392e+04 -7.604544254555205664e-04 4.730062146982076622e-05 nan nan nan nan nan nan nan nan -6.318794529910982227e+00 4.148173406499830983e-03 4.310583372645995226e-01
1.549695678710937500e+03 1.550695678710937500e+03 1.549896118579117910e+03 3.284963788776029854e-03 3.257344168470188012e-02 9.899697085657912024e-03 4.758158912347990554e+04 1.446096251503463645e+04 -2.557034660712044450e-04 7.017614942953207576e-05 1.549925199869688868e+03 3.284963788776029854e-03 9.949832965584494773e-03 9.899697085657912024e-03 1.557739919082792185e+05 2.026241953814266890e+04 -6.742901227804643134e-04 7.017614942953207576e-05 5.784681746223781396e+00 -3.659008616198537560e-03 4.925638220783726817e-01
1.551294555664062500e+03 1.552294555664062500e+03 1.551856805844304063e+03 8.773705777421258794e-04 4.106778837484222761e-02 2.814807245636140667e-03 3.778768877641724248e+04 2.589987539540346916e+03 -9.437162305608397771e-04 5.191835980444272323e-05 nan nan nan nan nan nan nan nan -2.664765144665722474e+01 1.710581336490758775e-02 4.933000661840932777e-01
1.553157104492187500e+03 1.554157104492187500e+03 1.553649377781605608e+03 1.033513132107690465e-03 3.785351234110341523e-02 3.025528081221575023e-03 4.104373099598919362e+04 3.280513564283708092e+03 -4.587070579021907302e-04 2.638910556525751502e-05 nan nan nan nan nan nan nan nan 2.904773554618171438e+00 -1.802395304553457362e-03 4.070397825723530705e-01
1.555111450195312500e+03 1.556111450195312500e+03 1.555608609398879935e+03 2.369428965181548483e-04 1.433337797225672262e-02 7.376534465431881750e-04 1.085304952126338612e+05 5.585417059673355652e+03 -5.836111457403770622e-04 1.652889296183762625e-05 1.555468351624570232e+03 2.369428965181548483e-04 4.111754118202494424e-02 7.376534465431881750e-04 3.782979981070859503e+04 2.554163729390760182e+03 -4.337247534137251485e-04 1.652889296183762625e-05 1.656306319513446113e+01 -1.058128848745694579e-02 8.142335901237998108e-01
1.557009887695312500e+03 1.558009887695312500e+03 1.557512645119130639e+03 1.614920592632046188e-04 1.359725390033700125e-02 5.105954876552976258e-04 1.145461176598701568e+05 4.301363439593924340e+03 -6.023765180013209352e-04 1.228440661294110985e-05 nan nan nan nan nan nan nan nan -1.715765685874714563e+00 1.171444944551822825e-03 8.594123169272174234e-01
1.558904296875000000e+03 1.559904296875000000e+03 1.559404214122338317e+03 2.328083600207111982e-04 1.400614650974070681e-02 6.993056281355816348e-04 1.113371342387312616e+05 5.558894056965064919e+03 -5.137593820248741085e-04 1.456186897428271649e-05 nan nan nan nan nan nan nan nan 9.974484164638232286e+00 -6.333553630625293751e-03 7.668428831249894939e-01
1.560794799804687500e+03 1.561794799804687500e+03 1.561302968068128848e+03 1.252962269012647596e-04 1.183495966092344698e-02 2.081154978704651058e-04 1.319229649107485893e+05 2.319840059437261516e+03 -1.009662347418371128e-03 1.495735010506542640e-05 nan nan nan nan nan nan nan nan -1.448376323921052133e+01 9.345490606490838154e-03 8.938643061259693434e-01
1.562717163085937500e+03 1.563717163085937500e+03 1.563220418240804747e+03 4.514994261260335561e-04 1.982479048324620532e-02 1.262327350505880550e-03 7.885180020247233915e+04 5.020824009078321069e+03 -7.805141764352221739e-04 3.353084849531776134e-05 1.563201256524208702e+03 4.514994261260335561e-04 5.617492028078965340e-03 1.262327350505880550e-03 2.782738718115782249e+05 4.617455333532391523e+04 -2.168033659302443894e-04 3.353084849531776134e-05 7.701636095122680326e-01 -4.236997137897304845e-04 7.986129682965870114e-01
1.564626586914062500e+03 1.565626586914062500e+03 1.565122704901191128e+03 1.161573554192113614e-04 7.392975399847166208e-03 1.894193685711981624e-04 2.117040325784861343e+05 5.424182011479497305e+03 -5.974069277903510354e-04 1.280415686541899826e-05 nan nan nan nan nan nan nan nan -3.403468205881626130e+00 2.240263848028154793e-03 7.224372673522552191e-01
1.565899902343750000e+03 1.566899902343750000e+03 1.566699462890624773e+03 6.677474766751048153e-03 2.600668588453159957e-01 4.177215062515592797e-02 6.024218040878768988e+03 9.676148072393904158e+02 -1.001489972922117375e-03 2.429371446679219376e-04 1.566400721996110633e+03 6.677474766751048153e-03 1.684198087797898410e-02 4.177215062515592797e-02 9.300572975024519837e+04 2.303580388543869049e+04 -6.371481743025150541e-05 2.429371446679219376e-04 -6.238325915691579127e+00 4.049794291621969418e-03 2.248985131134823012e-01
1.566542968750000000e+03 1.567542968750000000e+03 1.567043012303140358e+03 1.399174620124755681e-04 1.065919556126917848e-02 2.968300127117345401e-04 1.470132528571934963e+05 4.093924861757820963e+03 -7.173565198405234319e-04 1.383073561232460208e-05 nan nan nan nan nan nan nan nan -9.675497706767925976e+00 6.239703915988872515e-03 8.812771274220327911e-01
1.568462402343750000e+03 1.569462402343750000e+03 1.568961465428853217e+03 1.821762657725144955e-04 1.089800963036360697e-02 5.151732551511169862e-04 1.439677077415562526e+05 6.805675086525991901e+03 -4.785225393797260473e-04 1.534812236001770327e-05 1.568973171258820003e+03 1.821762657725144955e-04 5.675412921606149373e-03 5.151732551511169862e-04 2.764509284048355184e+05 2.700278046312184597e+04 -1.295358155130285117e-04 1.534812236001770327e-05 -2.535119642313377497e+00 1.685629344156329206e-03 9.055033889699649619e-01
1.570387817382812500e+03 1.571387817382812500e+03 1.570887713268282141e+03 1.683206490623409708e-04 1.310868301580371542e-02 4.702304761730464436e-04 1.198356624669643352e+05 4.298706480023123731e+03 -3.508319692112864935e-04 8.017264277698652464e-06 nan nan nan nan nan nan nan nan -1.940960374909131425e-01 1.881309923569796062e-04 8.029614329278056406e-01
1.572314208984375000e+03 1.573314208984375000e+03 1.572816220791861497e+03 1.832236558025414125e-04 2.263018162183819473e-02 5.498754717953198423e-04 6.950082182610894961e+04 1.688753445767929861e+03 -8.830621743075889752e-04 1.242853492988203877e-05 nan nan nan nan nan nan nan nan -4.271194834407598506e+00 2.783943499268092241e-03 9.218605609559862302e-01
1.574256591796875000e+03 1.575256591796875000e+03 1.574773308456697578e+03 2.055312232837719323e-04 3.183907177731572658e-03 4.383246921895519598e-04 4.946040259812696022e+05 6.809154455266227887e+04 -1.904768250459673877e-04 2.008690421366271249e-05 1.574754511156660556e+03 2.055312232837719323e-04 1.803143180710522694e-02 4.383246921895519598e-04 8.733385834263775905e+04 6.304443892213172148e+03 -7.612735129354841540e-04 2.008690421366271249e-05 -8.817313122821619942e+00 5.665913859367320213e-03 7.518869047676473016e-01
1.576208007812500000e+03 1.577208007812500000e+03 1.576696673680103231e+03 1.679886341145609818e-04 8.011336272745028797e-03 2.927192626592832535e-04 1.968082002804082877e+05 7.191004011105762402e+03 -6.377628607770393244e-04 1.924396844747658595e-05 1.576708008721379883e+03 1.679886341145609818e-04 1.437603795702580185e-03 2.927192626592832535e-04 1.096761161478999304e+06 1.143288471247486887e+05 -9.125402178986912111e-05 1.924396844747658595e-05 -3.526882833169346032e+00 2.303771137639032580e-03 7.267820159415170345e-01
1.576954956054687500e+03 1.577954956054687500e+03 1.577535426884304570e+03 8.671547412123373558e-04 1.792772031203006310e-03 3.851173865062305045e-03 8.799420112694019917e+05 1.890262463709451258e+06 -3.799654928779035891e-06 4.005618131773625731e-06 nan nan nan nan nan nan nan nan 1.000556415555336187e+01 -6.277211866375604493e-03 2.022097346293250109e-01
