structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,17,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1543.93834187,0.000184430148262,194.173853884,2.31949111497e-05,0.00919095952839,0.000589172208249,167984.456585,10768.3830978,-0.000363607003764,6.9345649217,-0.00442986994679,0.70156431031,1.86865494726,0.000171369195844,203.314457156,13.0331713357
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,75,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1543.93834187,0.000184430148262,194.173853884,2.31949111497e-05,0.00919095952839,0.000589172208249,167984.456585,10768.3830978,-0.000363607003764,6.9345649217,-0.00442986994679,0.70156431031,0.928632848179,0.000224958245696,101.037638705,6.47690739847
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,18,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1545.79560757,0.000316830254967,193.940554969,3.97505563986e-05,0.0148000542654,0.00134149221434,104445.266203,9467.02687194,-0.000765587823259,26.5737759367,-0.0171259939645,0.784495001107,0.928632848179,0.000289464467153,62.7452326544,5.68732636445
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,76,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1545.79560757,0.000316830254967,193.940554969,3.97505563986e-05,0.0148000542654,0.00134149221434,104445.266203,9467.02687194,-0.000765587823259,26.5737759367,-0.0171259939645,0.784495001107,0.954678744284,0.00030904251431,64.5050840467,5.84684477062
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,19,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1547.70496506,0.000284402656836,193.701296286,3.55940987076e-05,0.0178102819618,0.000515142994898,86899.5206465,2513.4739258,-0.00138452157555,4.82569122134,-0.00305915240045,0.568780469757,0.954678744284,0.000292846386399,53.6026743616,1.55048612325
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,77,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1547.70496506,0.000284402656836,193.701296286,3.55940987076e-05,0.0178102819618,0.000515142994898,86899.5206465,2513.4739258,-0.00138452157555,4.82569122134,-0.00305915240045,0.568780469757,4.69705679902,0.000253763764081,263.727256486,7.62803677297
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,24,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1557.09907865,0.000122186653101,192.53267959,1.51081739461e-05,0.00801698249533,0.000247327277417,194225.081514,5991.92534664,-0.000502297071044,-0.69357424813,0.000505744990077,0.834351515012,4.69705679902,0.000177252366559,585.888369066,18.0749158035
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,82,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1557.09907865,0.000122186653101,192.53267959,1.51081739461e-05,0.00801698249533,0.000247327277417,194225.081514,5991.92534664,-0.000502297071044,-0.69357424813,0.000505744990077,0.834351515012,3.81824363445,0.000188830816156,476.269423898,14.6931306575
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,28,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1564.73556592,0.000312793180765,191.593049029,3.82997616489e-05,0.0152607664564,0.000876263103717,102533.222718,5887.38974742,-0.000229292986236,3.38143783852,-0.00210268174021,0.58958057998,3.81824363445,0.00027769061021,250.199991288,14.3663293324
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,86,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1564.73556592,0.000312793180765,191.593049029,3.82997616489e-05,0.0152607664564,0.000876263103717,102533.222718,5887.38974742,-0.000229292986236,3.38143783852,-0.00210268174021,0.58958057998,1.05710283919,0.00238803845133,69.2693150248,3.98047523453
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,29,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1566.8497716,0.00474524939896,191.334525769,0.000579462090022,0.0485953657199,0.015289586639,32242.781763,10144.5641568,-0.000168361043602,3.82945765216,-0.00250490712447,0.0662867675249,1.05710283919,0.00411248146345,21.753161511,6.84473234486
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,87,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1566.8497716,0.00474524939896,191.334525769,0.000579462090022,0.0485953657199,0.015289586639,32242.781763,10144.5641568,-0.000168361043602,3.82945765216,-0.00250490712447,0.0662867675249,0.782489236432,0.00528545942929,16.1021370009,5.06739159671
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,30,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1568.41475007,0.00664771764893,191.143610442,0.00081016118508,0.0439863701429,0.020684650569,35656.8351737,16767.6753867,-9.2786038001e-05,1.03252376198,-0.000719252303774,0.0178967559395,0.782489236432,0.00622683390011,17.7893568824,8.3666670403
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,88,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1568.41475007,0.00664771764893,191.143610442,0.00081016118508,0.0439863701429,0.020684650569,35656.8351737,16767.6753867,-9.2786038001e-05,1.03252376198,-0.000719252303774,0.0178967559395,1.99980189452,0.0057571972315,45.4641264561,21.3799681301
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,32,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1572.41435386,6.94984155663e-05,190.657416261,8.42677905705e-06,0.00423231357356,0.000149616607103,371525.957738,13133.8220294,-0.000348650594097,-1.96453520647,0.00130609134905,0.424879517228,1.99980189452,0.00332440370703,472.507969876,16.7220975509
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,90,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1572.41435386,6.94984155663e-05,190.657416261,8.42677905705e-06,0.00423231357356,0.000149616607103,371525.957738,13133.8220294,-0.000348650594097,-1.96453520647,0.00130609134905,0.424879517228,1.93510788473,7.14849266528e-05,457.222238167,16.1632818854
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,34,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1576.28456963,7.71381206381e-05,190.18929943,9.30723132492e-06,0.00454783454276,0.000138679259273,346601.125176,10569.0712471,-0.000379457607137,9.53610145762,-0.00598934083306,0.574371525712,1.93510788473,7.53008943057e-05,425.500942599,12.9750110807
