structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,99,42,1587.81188008,1589.76988016,1588.79088012,0.000178753508272,188.692207232,1.95800007887,0.000357507016544,12.8920140914,0.00235392686895
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,42,100,1589.76988016,1589.76988016,1589.76988016,0.000203504252731,188.576008227,0,0.000407008505462,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,100,49,1589.76988016,1602.48841129,1596.12914573,0.00169913924329,187.824687496,12.7185311283,0.00339827848659,2.00308370845,0.00053522315641
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,49,107,1602.48841129,1602.48841129,1602.48841129,0.00239431291926,187.079329802,0,0.00478862583852,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,107,50,1602.48841129,1603.7054704,1603.09694085,0.00170281235572,187.008315194,1.21705910894,0.00340562471145,21.1158174889,0.0590871635062
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,50,108,1603.7054704,1603.7054704,1603.7054704,0.000257692611994,186.937354479,0,0.000515385223989,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,108,51,1603.7054704,1605.71097747,1604.70822394,0.000276133733998,186.820540662,2.00550707263,0.000552267467997,12.8400867746,0.00353584778957
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,51,109,1605.71097747,1605.71097747,1605.71097747,0.000293418124572,186.703872743,0,0.000586836249144,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,109,52,1605.71097747,1607.73460848,1606.72279298,0.000280405984966,186.586298091,2.02363100788,0.000560811969932,12.7570595797,0.00353538632288
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,52,110,1607.73460848,1607.73460848,1607.73460848,0.000266759886382,186.468871428,0,0.000533519772764,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,110,53,1607.73460848,1609.75060546,1608.74260697,0.000307266397164,186.352034627,2.01599697692,0.000614532794329,12.837582621,0.00391326068705
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,53,111,1609.75060546,1609.75060546,1609.75060546,0.000343022507527,186.235344148,0,0.000686045015054,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,111,55,1609.75060546,1613.79461159,1611.77260853,0.000409009718236,186.001707942,4.04400613581,0.000818019436473,6.42385509406,0.00129941812349
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,55,113,1613.79461159,1613.79461159,1613.79461159,0.000465739689691,185.768657205,0,0.000931479379382,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,113,56,1613.79461159,1615.8241801,1614.80939585,0.000447259541745,185.651915806,2.02956850517,0.00089451908349,12.8480974073,0.00566271962021
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,56,114,1615.8241801,1615.8241801,1615.8241801,0.000427982168799,185.535321041,0,0.000855964337598,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,114,57,1615.8241801,1617.87483411,1616.84950711,0.000509040675292,185.4176636,2.05065401238,0.00101808135058,12.7481394367,0.00632903131169
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,57,115,1617.87483411,1617.87483411,1617.87483411,0.000578857565721,185.30015529,0,0.00115771513144,,
