structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,rejection_reason,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,88,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1568.41475007,0.00664771764893,191.143610442,0.00081016118508,0.0439863701429,0.020684650569,35656.8351737,16767.6753867,-9.2786038001e-05,1.03252376198,-0.000719252303774,0.0178967559395,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,32,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1572.41435386,6.94984155663e-05,190.657416261,8.42677905705e-06,0.00423231357356,0.000149616607103,371525.957738,13133.8220294,-0.000348650594097,-1.96453520647,0.00130609134905,0.424879517228,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,90,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1572.41435386,6.94984155663e-05,190.657416261,8.42677905705e-06,0.00423231357356,0.000149616607103,371525.957738,13133.8220294,-0.000348650594097,-1.96453520647,0.00130609134905,0.424879517228,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,34,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1576.28456963,7.71381206381e-05,190.18929943,9.30723132492e-06,0.00454783454276,0.000138679259273,346601.125176,10569.0712471,-0.000379457607137,9.53610145762,-0.00598934083306,0.574371525712,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,92,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1576.28456963,7.71381206381e-05,190.18929943,9.30723132492e-06,0.00454783454276,0.000138679259273,346601.125176,10569.0712471,-0.000379457607137,9.53610145762,-0.00598934083306,0.574371525712,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,35,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1578.23205489,9.55387455773e-05,189.954612233,1.14989587958e-05,0.00655443492942,0.000166784534899,240788.423699,6127.11632478,-0.00055759994539,-0.977446351068,0.000682856314201,0.648654323595,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,93,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1578.23205489,9.55387455773e-05,189.954612233,1.14989587958e-05,0.00655443492942,0.000166784534899,240788.423699,6127.11632478,-0.00055759994539,-0.977446351068,0.000682856314201,0.648654323595,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,36,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1579.72586439,0.0448188945996,189.774988659,0.00538416532011,0.797980517382,0.213486140854,1979.65467826,529.623005393,-0.0134125017115,54.7858276212,-0.0347217150015,0.0904671926875,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,94,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1579.72586439,0.0448188945996,189.774988659,0.00538416532011,0.797980517382,0.213486140854,1979.65467826,529.623005393,-0.0134125017115,54.7858276212,-0.0347217150015,0.0904671926875,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,37,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1582.13087719,0.000104039172607,189.486509822,1.246042283e-05,0.00747935667164,0.000170984225023,211533.01636,4835.81816687,-0.000596743800933,5.94665968354,-0.00369232744066,0.788974489671,low_R2,,,,
